s_sector,r_sector,lag,corr,pvalue,significant,n_obs
Banking,ConsumerStaples,4,0.04064297370141792,0.5257704626629862,False,246
Banking,ConsumerStaples,5,-0.07540958317303204,0.23960066777929487,False,245
Banking,ConsumerDiscretionary,0,0.15563767498523376,0.013757040579294862,True,250
Banking,ConsumerDiscretionary,1,-0.09665553390661383,0.1282378132830667,False,249
Banking,ConsumerDiscretionary,2,-0.16186870108579818,0.010677140139937067,True,248
Banking,ConsumerDiscretionary,3,0.022096514039948254,0.7296774629287928,False,247
Banking,ConsumerDiscretionary,4,0.056926687242857786,0.37398488748486747,False,246
Banking,ConsumerDiscretionary,5,-0.04261025646888091,0.5067884057758,False,245
Banking,Energy,0,0.1134355517157091,0.07339474970761127,False,250
Banking,Energy,1,0.07512966841131723,0.23751092753924108,False,249
Banking,Energy,2,0.05784809282189579,0.36432736855581366,False,248
Banking,Energy,3,-0.009135731543956402,0.8864055210900978,False,247
Banking,Energy,4,-0.03067894664714078,0.6320507111115956,False,246
Banking,Energy,5,0.03227999909962791,0.6150985443401191,False,245
Banking,IndustrialLogistics,0,0.09824433949098317,0.12129881810554341,False,250
Banking,IndustrialLogistics,1,-0.07803838905427231,0.2197846165184535,False,249
Banking,IndustrialLogistics,2,-0.1471351011796064,0.020448790412662673,True,248
Banking,IndustrialLogistics,3,-0.017962461183887626,0.7787925393059143,False,247
Banking,IndustrialLogistics,4,-0.007695090693024758,0.9044198990633769,False,246
Banking,IndustrialLogistics,5,0.042436268432199754,0.5085266107617336,False,245
Banking,Healthcare,0,0.0975940573870041,0.12379443710786858,False,250
Banking,Healthcare,1,-0.003241449768510034,0.9594115964726829,False,249
Banking,Healthcare,2,-0.011349318553201662,0.8588548954895094,False,248
Banking,Healthcare,3,0.03324351179502698,0.6030940160263477,False,247
Banking,Healthcare,4,-0.1290719310688192,0.04311736380724266,True,246
Banking,Healthcare,5,-0.0009767013006509659,0.987864951398208,False,245
Banking,Utilities,0,0.08342852780520427,0.18857601550230427,False,250
Banking,Utilities,1,0.028348563911279566,0.6561958716502342,False,249
Banking,Utilities,2,-0.07162232649306735,0.2611594422858829,False,248
Banking,Utilities,3,0.011980690268730032,0.851391762534933,False,247
